+-------------+------------------+----------------+
|    name     | transaction_type | account_number |
+-------------+------------------+----------------+
| Samuel      | withdraw         | 16153065       |
| Samuel      | withdraw         | 25506511       |
| Samuel      | withdraw         | 26013199       |
| Samuel      | withdraw         | 28296815       |
| Samuel      | withdraw         | 28500762       |
| Samuel      | withdraw         | 49610011       |
| Samuel      | withdraw         | 76054385       |
| Samuel      | withdraw         | 81061156       |
| Janice      | withdraw         | 16153065       |
| Janice      | withdraw         | 25506511       |
| Janice      | withdraw         | 26013199       |
| Janice      | withdraw         | 28296815       |
| Janice      | withdraw         | 28500762       |
| Janice      | withdraw         | 49610011       |
| Janice      | withdraw         | 76054385       |
| Janice      | withdraw         | 81061156       |
| Ernest      | withdraw         | 16153065       |
| Ernest      | withdraw         | 25506511       |
| Ernest      | withdraw         | 26013199       |
| Ernest      | withdraw         | 28296815       |
| Ernest      | withdraw         | 28500762       |
| Ernest      | withdraw         | 49610011       |
| Ernest      | withdraw         | 76054385       |
| Ernest      | withdraw         | 81061156       |
| Cheryl      | withdraw         | 16153065       |
| Cheryl      | withdraw         | 25506511       |
| Cheryl      | withdraw         | 26013199       |
| Cheryl      | withdraw         | 28296815       |
| Cheryl      | withdraw         | 28500762       |
| Cheryl      | withdraw         | 49610011       |
| Cheryl      | withdraw         | 76054385       |
| Cheryl      | withdraw         | 81061156       |
| Wayne       | withdraw         | 16153065       |
| Wayne       | withdraw         | 25506511       |
| Wayne       | withdraw         | 26013199       |
| Wayne       | withdraw         | 28296815       |
| Wayne       | withdraw         | 28500762       |
| Wayne       | withdraw         | 49610011       |
| Wayne       | withdraw         | 76054385       |
| Wayne       | withdraw         | 81061156       |
| Alan        | withdraw         | 16153065       |
| Alan        | withdraw         | 25506511       |
| Alan        | withdraw         | 26013199       |
| Alan        | withdraw         | 28296815       |
| Alan        | withdraw         | 28500762       |
| Alan        | withdraw         | 49610011       |
| Alan        | withdraw         | 76054385       |
| Alan        | withdraw         | 81061156       |
| Jennifer    | withdraw         | 16153065       |
| Jennifer    | withdraw         | 25506511       |
| Jennifer    | withdraw         | 26013199       |
| Jennifer    | withdraw         | 28296815       |
| Jennifer    | withdraw         | 28500762       |
| Jennifer    | withdraw         | 49610011       |
| Jennifer    | withdraw         | 76054385       |
| Jennifer    | withdraw         | 81061156       |
| Harold      | withdraw         | 16153065       |
| Harold      | withdraw         | 25506511       |
| Harold      | withdraw         | 26013199       |
| Harold      | withdraw         | 28296815       |
| Harold      | withdraw         | 28500762       |
| Harold      | withdraw         | 49610011       |
| Harold      | withdraw         | 76054385       |
| Harold      | withdraw         | 81061156       |
| Christian   | withdraw         | 16153065       |
| Christian   | withdraw         | 25506511       |
| Christian   | withdraw         | 26013199       |
| Christian   | withdraw         | 28296815       |
| Christian   | withdraw         | 28500762       |
| Christian   | withdraw         | 49610011       |
